"Name","Decription","Official  Name","Other  Names","Server","Clients","External  Definition","Project  Definition","Type","--"
"EVSE1","ISO 15118 Interface",,,"EVSE","EV",,,"n/a",
"CCP1","Publish Contract Data",,,"CCP","CPS",,,"PUSH",
"CCP2","Query ContractCert Package from CCP",,,"CCP","OEM, CPO","AR 11.3.4",,"PULL",
"CPMS1","Provide EVSE Leaf Certificate",,,"CPO","EVSE",,,"n/a",
"RCP1","Publish Root Certificate",,,"RCP","V2G Root, MO, OEM",,,"PUSH",
"RCP2","Get Root Certificate",,,"RCP","CPO, CPS, OEM, MO",,,"PULL",
"CAR1","Car Link",,"Telematik Link","OEM","EV",,,"n/a",
"PCP1","Publish Provisioning Certificate",,,"PCP","OEM",,,"PUSH",
"PCP2","Get Provisioning Certificate",,,"PCP","MO",,,"PULL",
"CPS1","Provision Contract Certificate",,,"CPS","MO",,,"PUSH",
"CPMS2","Request Contract Certificate",,"OCPP","CPO","EVSE",,,"PULL",
